email,password,password_confirmation,reset_password_token,reset_password_sent_at,first_name,last_name,bio,linked_in,twitter
ssadiq07@gmail.com,1q2w3e,1q2w3e,,,Sabah ,Sadiq,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,https://twitter.com/sadiqscientist
fahnestock@foo.com,1q2w3e,1q2w3e,,,Arron,Fahnestock,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,https://twitter.com/sadiqscientist
fleenor@foo.com,1q2w3e,1q2w3e,,,Leif,Fleenor,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
brandenberger@foo.com,1q2w3e,1q2w3e,,,Ebony,Brandenberger,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,https://twitter.com/sadiqscientist
moritz@foo.com,1q2w3e,1q2w3e,,,Betsy,Moritz,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
starrett@foo.com,1q2w3e,1q2w3e,,,Chelsey,Starrett,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,https://twitter.com/sadiqscientist
reno@foo.com,1q2w3e,1q2w3e,,,Elda,Reno,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,https://twitter.com/sadiqscientist
ruse@foo.com,1q2w3e,1q2w3e,,,Mirta,Ruse,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,https://twitter.com/sadiqscientist
amey@foo.com,1q2w3e,1q2w3e,,,Nell,Amey,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,https://twitter.com/sadiqscientist
freshour@foo.com,1q2w3e,1q2w3e,,,Mertie,Freshour,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,https://twitter.com/sadiqscientist
holleman@foo.com,1q2w3e,1q2w3e,,,Tambra,Holleman,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,https://twitter.com/sadiqscientist
tatham@foo.com,1q2w3e,1q2w3e,,,Ivory,Tatham,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,https://twitter.com/sadiqscientist
melara@foo.com,1q2w3e,1q2w3e,,,Nanci,Melara,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,https://twitter.com/sadiqscientist
farias@foo.com,1q2w3e,1q2w3e,,,Bettyann,Farias,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
vandermeer@foo.com,1q2w3e,1q2w3e,,,Mercedes,Vandermeer,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,https://twitter.com/sadiqscientist
michelsen@foo.com,1q2w3e,1q2w3e,,,Kyong,Michelsen,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
land@foo.com,1q2w3e,1q2w3e,,,Barry,Land,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,https://twitter.com/sadiqscientist
christensen@foo.com,1q2w3e,1q2w3e,,,Hiroko,Christensen,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,
filson@foo.com,1q2w3e,1q2w3e,,,Charlsie,Filson,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,https://twitter.com/sadiqscientist
mitchel@foo.com,1q2w3e,1q2w3e,,,Lieselotte,Mitchel,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
stimson@foo.com,1q2w3e,1q2w3e,,,Hyacinth,Stimson,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
manross@foo.com,1q2w3e,1q2w3e,,,Lilly,Manross,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,https://twitter.com/sadiqscientist
price@foo.com,1q2w3e,1q2w3e,,,Jamaal,Price,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
sanborn@foo.com,1q2w3e,1q2w3e,,,Ona,Sanborn,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,
rehder@foo.com,1q2w3e,1q2w3e,,,Cammy,Rehder,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
segrest@foo.com,1q2w3e,1q2w3e,,,Kali,Segrest,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,
pigeon@foo.com,1q2w3e,1q2w3e,,,Clifton,Pigeon,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,https://twitter.com/sadiqscientist
kjos@foo.com,1q2w3e,1q2w3e,,,Pearlene,Kjos,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
blodgett@foo.com,1q2w3e,1q2w3e,,,Concetta,Blodgett,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
candelario@foo.com,1q2w3e,1q2w3e,,,Darryl,Candelario,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
